"Coupon ""%1"" was not applied to ""%2"" because it is already discounted.","Coupon ""%1"" was not applied to ""%2"" because it is already discounted."
"Coupon ""%1"" was not applied to the following products because they are already discounted: %2","Coupon ""%1"" was not applied to the following products because they are already discounted: %2"
"Discount Exclusion","Discount Exclusion"
"General","General"
"Enable Module","Enable Module"
"Enable or disable the discount exclusion functionality","Enable or disable the discount exclusion functionality"
"Discount Exclusion Configuration","Discount Exclusion Configuration"
"Bypass Discount Exclusion","Bypass Discount Exclusion"
"When enabled, this rule's discount will apply even to products already discounted by special prices or catalog rules.","When enabled, this rule's discount will apply even to products already discounted by special prices or catalog rules."
