"Coupon ""%1"" was not applied to ""%2"" because it is already discounted.","Gutschein ""%1"" wurde nicht auf ""%2"" angewendet, da das Produkt bereits reduziert ist."
"Coupon ""%1"" was not applied to the following products because they are already discounted: %2","Gutschein ""%1"" wurde nicht auf folgende Produkte angewendet, da sie bereits reduziert sind: %2"
"Discount Exclusion","Rabattausschluss"
"General","Allgemein"
"Enable Module","Modul aktivieren"
"Enable or disable the discount exclusion functionality","Aktivieren oder deaktivieren Sie die Rabattausschlussfunktion"
"Discount Exclusion Configuration","Rabattausschluss-Konfiguration"
"Bypass Discount Exclusion","Rabattausschluss umgehen"
"When enabled, this rule's discount will apply even to products already discounted by special prices or catalog rules.","Wenn aktiviert, wird der Rabatt dieser Regel auch auf Produkte angewendet, die bereits durch Sonderpreise oder Katalogregeln reduziert sind."
